feature_name,category,input_fields,formula_or_definition,gap_behavior,default_model_role,leakage_risk,notes
difference_pos_19,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 19 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_19,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 19 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_19,pair_position,target_aligned_25,1 if aligned target position 19 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_20,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 20 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_20,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 20 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_20,pair_position,target_aligned_25,1 if aligned target position 20 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_21,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 21 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_21,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 21 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_21,pair_position,target_aligned_25,1 if aligned target position 21 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_22,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 22 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_22,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 22 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_22,pair_position,target_aligned_25,1 if aligned target position 22 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_23,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 23 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_23,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 23 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_23,pair_position,target_aligned_25,1 if aligned target position 23 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_24,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 24 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_24,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 24 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_24,pair_position,target_aligned_25,1 if aligned target position 24 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_25,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 25 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_25,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 25 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_25,pair_position,target_aligned_25,1 if aligned target position 25 is '-'.,explicit target-channel gap,candidate_input,none_known,
sub_A_to_C_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation A-to-C substitutions.,gaps excluded,candidate_input,none_known,
sub_A_to_G_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation A-to-G substitutions.,gaps excluded,candidate_input,none_known,
sub_A_to_T_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation A-to-T substitutions.,gaps excluded,candidate_input,none_known,
sub_C_to_A_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation C-to-A substitutions.,gaps excluded,candidate_input,none_known,
sub_C_to_G_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation C-to-G substitutions.,gaps excluded,candidate_input,none_known,
sub_C_to_T_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation C-to-T substitutions.,gaps excluded,candidate_input,none_known,
sub_G_to_A_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation G-to-A substitutions.,gaps excluded,candidate_input,none_known,
sub_G_to_C_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation G-to-C substitutions.,gaps excluded,candidate_input,none_known,
sub_G_to_T_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation G-to-T substitutions.,gaps excluded,candidate_input,none_known,
sub_T_to_A_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation T-to-A substitutions.,gaps excluded,candidate_input,none_known,
sub_T_to_C_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation T-to-C substitutions.,gaps excluded,candidate_input,none_known,
sub_T_to_G_count,substitution_type,crRNA_sequence; target_aligned_25,Count of direct-orientation T-to-G substitutions.,gaps excluded,candidate_input,none_known,
guide_length_acgt,sequence_composition,crRNA_sequence,length acgt,computed after removing gaps,candidate_input,none_known,
guide_gc_content,sequence_composition,crRNA_sequence,gc content,computed after removing gaps,candidate_input,none_known,
guide_shannon_entropy,sequence_composition,crRNA_sequence,shannon entropy,computed after removing gaps,candidate_input,none_known,
guide_longest_homopolymer,sequence_composition,crRNA_sequence,longest homopolymer,computed after removing gaps,candidate_input,none_known,
guide_a_fraction,sequence_composition,crRNA_sequence,a fraction,computed after removing gaps,candidate_input,none_known,
guide_c_fraction,sequence_composition,crRNA_sequence,c fraction,computed after removing gaps,candidate_input,none_known,
guide_g_fraction,sequence_composition,crRNA_sequence,g fraction,computed after removing gaps,candidate_input,none_known,
guide_t_fraction,sequence_composition,crRNA_sequence,t fraction,computed after removing gaps,candidate_input,none_known,
target_ungapped_length_acgt,sequence_composition,target_ungapped,length acgt,computed after removing gaps,candidate_input,none_known,
target_ungapped_gc_content,sequence_composition,target_ungapped,gc content,computed after removing gaps,candidate_input,none_known,
target_ungapped_shannon_entropy,sequence_composition,target_ungapped,shannon entropy,computed after removing gaps,candidate_input,none_known,
target_ungapped_longest_homopolymer,sequence_composition,target_ungapped,longest homopolymer,computed after removing gaps,candidate_input,none_known,
target_ungapped_a_fraction,sequence_composition,target_ungapped,a fraction,computed after removing gaps,candidate_input,none_known,
target_ungapped_c_fraction,sequence_composition,target_ungapped,c fraction,computed after removing gaps,candidate_input,none_known,
target_ungapped_g_fraction,sequence_composition,target_ungapped,g fraction,computed after removing gaps,candidate_input,none_known,
target_ungapped_t_fraction,sequence_composition,target_ungapped,t fraction,computed after removing gaps,candidate_input,none_known,
guide_spacer_length_acgt,sequence_composition,crRNA_sequence positions 5-25,length acgt,computed after removing gaps,candidate_input,none_known,
guide_spacer_gc_content,sequence_composition,crRNA_sequence positions 5-25,gc content,computed after removing gaps,candidate_input,none_known,
guide_spacer_shannon_entropy,sequence_composition,crRNA_sequence positions 5-25,shannon entropy,computed after removing gaps,candidate_input,none_known,
guide_spacer_longest_homopolymer,sequence_composition,crRNA_sequence positions 5-25,longest homopolymer,computed after removing gaps,candidate_input,none_known,
guide_spacer_a_fraction,sequence_composition,crRNA_sequence positions 5-25,a fraction,computed after removing gaps,candidate_input,none_known,
guide_spacer_c_fraction,sequence_composition,crRNA_sequence positions 5-25,c fraction,computed after removing gaps,candidate_input,none_known,
guide_spacer_g_fraction,sequence_composition,crRNA_sequence positions 5-25,g fraction,computed after removing gaps,candidate_input,none_known,
guide_spacer_t_fraction,sequence_composition,crRNA_sequence positions 5-25,t fraction,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_length_acgt,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,length acgt,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_gc_content,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,gc content,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_shannon_entropy,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,shannon entropy,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_longest_homopolymer,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,longest homopolymer,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_a_fraction,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,a fraction,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_c_fraction,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,c fraction,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_g_fraction,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,g fraction,computed after removing gaps,candidate_input,none_known,
target_spacer_ungapped_t_fraction,sequence_composition,target_aligned_25 positions 5-25 with gaps removed,t fraction,computed after removing gaps,candidate_input,none_known,
mapping_status,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
mapping_confidence,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
mapping_template_count,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
mapping_group_count,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
mapping_candidate_template_nos,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
mapping_candidate_group_ids,source_mapping,Table S2 exact/IUPAC-compatible windows,Audit metadata from source mapping.,uses target_ungapped only for lookup,metadata_only,exclude_or_metadata,Do not use as a default numeric feature; may encode source or pathogen group.
guide_target_hamming_dist_computed_v0_legacy,legacy_qc,v0 target_sequence,Legacy value retained only for comparison.,v0 removed gaps before comparison,exclude,exclude_or_metadata,
guide_target_hamming_dist_raw,source_qc,Table S3 source column,Unmodified source value.,source semantics unresolved,exclude,exclude_or_metadata,
label_raw_value,label,Table S3 30 min or Table S5 true value,Measured activity label.,not applicable,label_only,exclude_or_metadata,
